# RA, Dec, R, G, B, relative apparent brightness, Vmag, BV, parallax
87.87249592, 39.14848031, 0.9999999999999938, 0.7755759185195502, 0.5382870927914852, 6.486344335482383, 3.97, 1.132, 15.17
88.7929386, 7.40706274, 0.9999999999999999, 0.6890526957595017, 0.3804619018048004, 165.95869074375597, 0.45, 1.5, 7.63
89.10122041, -14.16770015, 0.8650864114638478, 0.8727913430274238, 1.0, 8.241381150130023, 3.71, 0.337, 66.47
89.78668859, -42.81513544, 0.9999999999999976, 0.7720817925931298, 0.5312728153659926, 6.546361740672751, 3.96, 1.146, 6.14
89.88181908, 54.28465615, 1.0, 0.8081822975476001, 0.603676757429627, 8.165823713585922, 3.72, 1.01, 23.22
89.88217889, 44.94743278, 0.670505501595611, 0.7382033750784786, 1.0, 43.65158322401658, 1.9, 0.077, 39.72
89.93028743, 37.21258518, 0.5737372140330474, 0.664554514987399, 0.9999999999999998, 21.87761623949553, 2.65, -0.083, 18.83
93.71388683, -6.27477613, 1.0, 0.7303399970660872, 0.4509717965038874, 6.367955209079157, 3.99, 1.319, 5.06
93.71940501, 22.50679887, 0.9999999999999998, 0.6673856027307121, 0.34630643345793244, 11.91242008027375, 3.31, 1.6, 9.34
95.07830229, -30.0633673, 0.55, 0.647, 1.0, 15.559656316050742, 3.02, -0.16, 9.7
95.52845101, -33.43640007, 1.0, 0.8491830910571762, 0.698727157808799, 7.244359600749901, 3.85, 0.858, 13.75
95.67493869, -17.95591772, 0.55, 0.647, 1.0, 40.55085354483837, 1.98, -0.24, 6.53
95.74011257, 22.51358585, 0.9999999999999999, 0.663055168677662, 0.3396997922002002, 17.864875748520507, 2.87, 1.621, 14.07
95.9879578, -52.69566046, 0.7304059722919074, 0.7807087714616161, 1.0, 444.6312674691088, -0.62, 0.164, 10.43
97.20445834, -7.0330625, 0.5571206974352692, 0.6520955272061681, 1.0, 7.870457896950989, 3.76, -0.113, 4.72
99.17098928, -19.2558792, 0.9999999999999053, 0.8007265072211577, 0.5882509708406838, 6.606934480075959, 3.95, 1.037, 50.41
99.42792124, 16.39925217, 0.6221928207842583, 0.7020024699189048, 1.0, 42.4619563946313, 1.93, 0.001, 31.12
99.44029726, -43.19593364, 0.5622647820244037, 0.6564087292490849, 0.9999999999999999, 13.551894123510364, 3.17, -0.103, 7.71
100.98302496, 25.13112417, 0.9999999999999999, 0.7163588399200027, 0.4261352639364546, 14.996848355023733, 3.06, 1.377, 3.61
101.28715539, -16.71611582, 0.6272372663589538, 0.7054778727676422, 1.0, 946.237161365793, -1.44, 0.009, 379.21
101.32235265, 12.89559111, 0.9594501126112182, 0.9346868442408472, 0.999854143620123, 11.481536214968829, 3.35, 0.443, 57.02
102.04771795, -61.94139161, 0.775634763099243, 0.8117978428218127, 0.9999999969543324, 12.705741052085413, 3.24, 0.225, 32.96
102.46024639, -32.5084777, 0.5553915648820166, 0.6507742432163194, 1.0, 10.0, 3.5, -0.116, 4.13
102.48403461, -50.61455978, 0.9999999999999997, 0.757375832045133, 0.5007778712385158, 16.749428760264372, 2.94, 1.207, 17.85
103.19724251, 33.96125399, 0.6873809486063511, 0.7495940666778627, 0.9999999999989146, 9.120108393559097, 3.6, 0.102, 16.59
103.53313596, -24.18421076, 1.0, 0.6380069642090951, 0.3031553021412515, 6.982324040771713, 3.89, 1.74, 1.65
104.65645182, -28.97208374, 0.55, 0.647, 1.0, 63.09573444801933, 1.5, -0.211, 7.57
105.42978223, -27.93483037, 0.9999999999999998, 0.640374488293519, 0.30618813979884546, 10.092528860766844, 3.49, 1.729, 2.68
105.75613571, -23.83329091, 0.5770010073220552, 0.6670008120154469, 1.0, 15.559656316050742, 3.02, -0.077, 1.27
107.09785107, -26.39319967, 1.0, 0.9032383417952892, 0.8356397603185325, 46.55860935229589, 1.83, 0.671, 1.82
107.18694146, -70.4989317, 1.0, 0.8092676771718991, 0.6060592578371946, 7.726805850957025, 3.78, 1.006, 23.02
109.20760182, -67.95715182, 0.9999999997390814, 0.8774189185034716, 0.7669743263216707, 6.486344335482383, 3.97, 0.76, 4.94
109.28565178, -37.09746988, 0.9999999999999999, 0.6640841158826903, 0.3412731366664709, 20.701413487910425, 2.71, 1.616, 2.98
109.52324476, 16.54038314, 0.6902328966522471, 0.7515136114381316, 1.0, 9.289663867799362, 3.58, 0.106, 34.59
110.03073983, 21.98232055, 0.897536301070165, 0.893668213591526, 0.9999986901709542, 10.0, 3.5, 0.374, 55.45
111.02376056, -29.3031036, 0.5737372140330474, 0.664554514987399, 0.9999999999999998, 26.302679918953814, 2.45, -0.083, 1.02
111.43165048, 27.7980804, 0.9999999999999382, 0.804335636035776, 0.5955359131523679, 7.726805850957025, 3.78, 1.024, 25.9
111.78767771, 8.28931548, 0.5655977999186519, 0.6589519114808837, 1.0, 17.538805018417612, 2.89, -0.097, 19.16
